"attended_lessons_id","lesson_type","genre","instrument","lesson_price","student_name","student_email","lesson_date"
1,"individual",NULL,"saxophone","550","Hoyt Leynton","anonymmus@gogl.com","2024-07-09 10:00:00"
2,"individual",NULL,"piano","450","Ailina O'Dulchonta","helio122@hotml.com","2024-03-26 11:00:00"
3,"individual",NULL,"cello","450","Bradley Dallicott",NULL,"2024-01-29 13:30:00"
4,"individual",NULL,"piano","450","Ailina O'Dulchonta","helio122@hotml.com","2024-01-01 10:00:00"
5,"individual",NULL,"cello","500","Bradley Dallicott",NULL,"2024-12-01 12:30:00"
6,"individual",NULL,"piano","600","Ailina O'Dulchonta","helio122@hotml.com","2024-12-02 10:00:00"
7,"individual",NULL,"piano","600","Ailina O'Dulchonta","helio122@hotml.com","2024-12-03 14:00:00"
8,"individual",NULL,"saxophone","700","Hoyt Leynton","anonymmus@gogl.com","2024-12-01 10:00:00"
9,"group",NULL,"cello","560","Stefania Garrard","dshurrocks2@arizona.edu","2023-12-28 11:29:00"
10,"ensemble","Pop",NULL,"850","Krystal Bufton","gpierson4@joomla.org","2024-08-08 11:18:00"
11,"group",NULL,"flute","610","Ailina O'Dulchonta","helio122@hotml.com","2024-12-01 08:56:00"
12,"group",NULL,"drums","710","Hoyt Leynton","anonymmus@gogl.com","2024-12-01 11:29:00"
13,"group",NULL,"clarinet","710","Stefania Garrard","dshurrocks2@arizona.edu","2024-12-02 08:56:00"
14,"group",NULL,"cello","800","Stefania Garrard","dshurrocks2@arizona.edu","2024-12-03 11:29:00"
15,"group",NULL,"flute","610","Bradley Dallicott",NULL,"2024-12-01 08:56:00"
16,"group",NULL,"drums","710","Krystal Bufton","gpierson4@joomla.org","2024-12-01 11:29:00"
17,"group",NULL,"clarinet","710","Clarette Charters","bpowrie5@goo.ne.jp","2024-12-02 08:56:00"
18,"group",NULL,"cello","800","Clarette Charters","bpowrie5@goo.ne.jp","2024-12-03 11:29:00"
19,"group",NULL,"flute","610","Bradley Dallicott",NULL,"2024-12-01 08:56:00"
20,"group",NULL,"drums","710","Stefania Garrard","dshurrocks2@arizona.edu","2024-12-01 11:29:00"
21,"group",NULL,"clarinet","710","Ailina O'Dulchonta","helio122@hotml.com","2024-12-02 08:56:00"
22,"group",NULL,"cello","800","Ailina O'Dulchonta","helio122@hotml.com","2024-12-03 11:29:00"
